Order ID,Category,Sales,Profit,Quantity,Customer Rating
10001,Groceries,414.66,225.75,9,2
10002,Books,434.63,282.96,3,1
10003,Clothing,589.71,288.97,3,3
10004,Books,525.96,43.67,6,3
10005,Books,158.28,327.53,3,5
10006,Furniture,74.92,198.79,9,2
10007,Clothing,732.12,234.56,8,4
10008,Clothing,564.12,-33.33,4,3
10009,Clothing,365.41,370.51,6,5
10010,Books,810.27,409.49,8,2
10011,Groceries,394.18,290.68,4,1
10012,Clothing,798.01,361.8,5,4
10013,Toys,312.7,237.49,7,2
10014,Books,82.12,290.09,8,5
10015,Furniture,933.31,167.01,7,5
10016,Groceries,400.61,385.53,8,5
10017,Toys,794.77,207.55,4,5
10018,Toys,286.35,324.12,1,5
10019,Furniture,649.9,291.79,6,4
10020,Groceries,874.58,336.27,5,3
10021,Books,51.23,381.87,4,3
10022,Electronics,832.33,231.99,2,1
10023,Groceries,575.62,397.19,1,3
10024,Furniture,611.4,223.49,9,5
10025,Toys,527.93,476.15,2,3
10026,Books,875.73,363.97,9,3
10027,Groceries,53.0,44.13,6,5
10028,Electronics,268.42,406.27,6,4
10029,Electronics,877.0,253.37,2,5
10030,Clothing,754.82,491.45,6,3
10031,Clothing,27.47,345.35,3,3
10032,Furniture,521.84,-3.59,7,1
10033,Groceries,534.28,167.23,4,5
10034,Groceries,406.87,234.5,9,1
10035,Toys,304.42,411.46,5,1
10036,Toys,684.91,351.14,3,2
10037,Toys,215.71,153.15,1,1
10038,Clothing,800.96,309.39,1,3
10039,Groceries,805.01,267.3,4,3
10040,Groceries,421.11,19.33,4,2
10041,Electronics,290.71,79.17,9,2
10042,Clothing,291.04,137.62,8,5
10043,Books,487.47,57.52,4,2
10044,Clothing,722.38,32.57,6,4
10045,Books,365.28,-17.99,7,3
10046,Electronics,613.94,430.21,8,3
10047,Furniture,388.66,108.92,4,2
10048,Groceries,311.48,109.68,1,2
10049,Electronics,34.61,63.43,5,3
10050,Groceries,13.87,211.47,1,2
10051,Toys,234.94,232.83,4,5
10052,Furniture,412.34,64.55,7,2
10053,Furniture,852.75,284.71,7,2
10054,Electronics,800.5,347.65,1,5
10055,Furniture,274.49,155.61,9,5
10056,Books,252.1,272.0,2,5
10057,Furniture,235.05,226.27,5,3
10058,Groceries,345.84,57.55,6,2
10059,Groceries,503.22,351.51,1,5
10060,Groceries,444.28,390.8,2,5
10061,Groceries,226.09,306.84,7,3
10062,Books,139.15,128.14,6,4
10063,Clothing,22.45,459.74,6,2
10064,Toys,162.42,200.45,6,4
10065,Electronics,708.3,96.23,7,4
10066,Groceries,251.2,174.53,9,5
10067,Furniture,473.92,330.64,9,3
10068,Groceries,595.39,415.26,2,2
10069,Furniture,887.97,146.12,2,2
10070,Toys,889.97,77.94,5,2
10071,Toys,748.28,294.57,7,4
10072,Toys,44.81,456.67,3,1
10073,Furniture,579.32,50.81,3,3
10074,Groceries,788.72,391.66,4,1
10075,Toys,27.12,212.13,3,4
10076,Books,554.19,389.73,3,5
10077,Furniture,859.19,228.05,8,1
10078,Furniture,479.36,157.53,7,1
10079,Groceries,14.07,333.21,7,3
10080,Furniture,20.9,445.35,2,4
10081,Furniture,422.47,126.14,9,3
10082,Toys,163.46,203.41,6,5
10083,Groceries,667.81,76.17,3,2
10084,Toys,711.71,50.88,9,4
10085,Toys,186.1,377.84,9,5
10086,Groceries,889.65,60.37,6,5
10087,Electronics,447.49,386.32,6,1
10088,Toys,151.42,186.07,8,3
10089,Books,766.61,497.28,8,1
10090,Books,792.07,58.54,6,1
10091,Furniture,642.9,1.14,7,2
10092,Books,854.93,-8.51,4,3
10093,Furniture,740.0,409.48,1,2
10094,Electronics,883.38,190.78,4,5
10095,Groceries,439.55,-48.28,8,2
10096,Groceries,750.12,431.12,8,5
10097,Groceries,999.75,432.31,2,1
10098,Books,727.68,393.53,7,2
10099,Electronics,123.04,86.58,1,3
10100,Books,523.14,155.01,2,2
10101,Books,591.47,359.71,8,5
10102,Electronics,182.47,219.14,4,4
10103,Electronics,963.26,34.6,3,3
10104,Electronics,183.82,83.54,2,5
10105,Electronics,185.78,484.92,6,4
10106,Groceries,916.02,33.06,4,3
10107,Clothing,470.55,349.34,3,4
10108,Clothing,72.56,212.91,3,1
10109,Electronics,602.21,361.73,3,1
10110,Clothing,605.81,313.61,8,2
10111,Clothing,73.86,191.54,9,2
10112,Electronics,972.8,144.65,9,2
10113,Clothing,548.59,364.9,5,2
10114,Books,564.2,127.73,1,4
10115,Furniture,524.91,383.27,5,3
10116,Furniture,614.62,323.91,1,3
10117,Electronics,271.66,267.72,9,2
10118,Groceries,294.37,152.84,8,1
10119,Electronics,516.23,62.79,7,5
10120,Groceries,808.62,340.73,2,2
10121,Furniture,59.37,0.24,2,2
10122,Electronics,607.37,483.8,4,1
